player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
,Jay Bahadur Bohara,,,,,Jay Bahadur Bohara,Jay Bahadur Bohara,,Jay Bahadur Bohara,,,1.0,,,,,1.0,1,,1.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,DEL,,,,,DEL,DEL,,DEL,,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,66.0,,,,,47.0,102,,75.0,,,2.0,,,,,2.0,2,,1.0,,,2.0,,,,,2.0,2.0,,1.0,,,2.0,,,,,2.0,2,,2.0,,,8.0,,,,,8.0,8,,8.0,
,Selvamani K,Selvamani K,,Selvamani K,Selvamani K,Selvamani K,Selvamani K,Selvamani K,Selvamani K,Selvamani K,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,20.0,19.0,,94.0,94.0,3.0,27,91.0,23.0,9.0,,38.0,1.0,,1.0,0.13,25.0,39,1.0,29.0,1.0,,4.75,0.125,,0.125,0.01625,3.125,4.875,0.125,3.625,0.125,,2.0,2.0,,2.0,2.0,2.0,2,2.0,2.0,2.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,Vineet Sharma,,,Vineet Sharma,Vineet Sharma,,Vineet Sharma,Vineet Sharma,Vineet Sharma,,,4.0,,,4.0,4.0,,4,4.0,4.0,,,Raider,,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,KOL,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,46.0,,,95.0,85.0,,77,92.0,40.0,,,8.0,,,1.0,0.25,,9,1.0,8.0,,,2.0,,,0.25,0.0625,,2.25,0.25,2.0,,,4.0,,,4.0,4.0,,4,4.0,4.0,,,8.0,,,8.0,8.0,,8,8.0,8.0,
Umesh Mhatre,Umesh Mhatre,,,Umesh Mhatre,Umesh Mhatre,Umesh Mhatre,Umesh Mhatre,Umesh Mhatre,Umesh Mhatre,,6.0,6.0,,,6.0,6.0,6.0,6,6.0,6.0,,Raider,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,,,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,43.0,37.0,,,56.0,53.0,32.0,51,55.0,36.0,,1.0,14.0,,,5.0,0.83,6.0,19,4.0,11.0,,0.1666666666666666,2.3333333333333335,,,0.8333333333333334,0.1383333333333333,1.0,3.1666666666666665,0.6666666666666666,1.8333333333333333,,4.0,4.0,,,4.0,4.0,4.0,4,4.0,4.0,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
,Deepak Kumar Rathee,Deepak Kumar Rathee,,Deepak Kumar Rathee,Deepak Kumar Rathee,Deepak Kumar Rathee,Deepak Kumar Rathee,Deepak Kumar Rathee,Deepak Kumar Rathee,,,14.0,14.0,,14.0,14.0,14.0,14,14.0,14.0,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,54.0,20.0,,37.0,55.0,35.0,58,33.0,50.0,,,6.0,1.0,,11.0,0.79,5.0,17,11.0,4.0,,,0.4285714285714285,0.0714285714285714,,0.7857142857142857,0.0564285714285714,0.3571428571428571,1.2142857142857142,0.7857142857142857,0.2857142857142857,,,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,
Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,Anil Shriram Nimbolkar,6.0,6.0,6.0,,6.0,6.0,6.0,6,6.0,6.0,6.0,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,13.0,36.0,21.0,,58.0,61.0,42.0,52,71.0,39.0,10.0,2.0,15.0,1.0,,4.0,0.67,3.0,19,2.0,9.0,1.0,0.3333333333333333,2.5,0.1666666666666666,,0.6666666666666666,0.1116666666666666,0.5,3.1666666666666665,0.3333333333333333,1.5,0.1666666666666666,2.0,2.0,2.0,,2.0,2.0,2.0,2,2.0,2.0,2.0,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
Gnanasekaran M,Gnanasekaran M,,,Gnanasekaran M,Gnanasekaran M,,Gnanasekaran M,Gnanasekaran M,Gnanasekaran M,,8.0,8.0,,,8.0,8.0,,8,8.0,8.0,,Defender,Defender,,,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,DEL,DEL,,,DEL,DEL,,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,42.0,56.0,,,72.0,86.0,,82,93.0,59.0,,1.0,5.0,,,2.0,0.25,,7,1.0,3.0,,0.125,0.625,,,0.25,0.03125,,0.875,0.125,0.375,,2.0,2.0,,,2.0,2.0,,2,2.0,2.0,,9.0,9.0,,,9.0,9.0,,9,9.0,9.0,
,,,,Jagdeesha K.K.,Jagdeesha K.K.,,Jagdeesha K.K.,Jagdeesha K.K.,,,,,,,7.0,7.0,,7,7.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,,,57.0,60.0,,91,53.0,,,,,,,5.0,0.71,,5,5.0,,,,,,,0.7142857142857143,0.1014285714285714,,0.7142857142857143,0.7142857142857143,,,,,,,3.0,3.0,,3,3.0,,,,,,,9.0,9.0,,9,9.0,,
,Anil Kashinath Patil,,,,,Anil Kashinath Patil,Anil Kashinath Patil,,Anil Kashinath Patil,,,5.0,,,,,5.0,5,,5.0,,,All Rounder,,,,,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,,,JAI,,,,,JAI,JAI,,JAI,,,Jaipur Pink Panthers,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,47.0,,,,,33.0,80,,45.0,,,8.0,,,,,6.0,8,,6.0,,,1.6,,,,,1.2,1.6,,1.2,,,3.0,,,,,3.0,3,,3.0,,,0.0,,,,,0.0,0,,0.0,
Rahul Kumar,,,,Rahul Kumar,Rahul Kumar,,Rahul Kumar,Rahul Kumar,,,11.0,,,,11.0,11.0,,11,11.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,HYD,,,,HYD,HYD,,HYD,HYD,,,Telugu Titans,,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,23.0,,,,30.0,35.0,,66,32.0,,,2.0,,,,14.0,1.27,,14,12.0,,,0.1818181818181818,,,,1.2727272727272727,0.1154545454545454,,1.2727272727272727,1.0909090909090908,,,8.0,,,,8.0,8.0,,8,8.0,,,9.0,,,,9.0,9.0,,9,9.0,,
Sandeep Kumar Dhull,,,Sandeep Kumar Dhull,Sandeep Kumar Dhull,Sandeep Kumar Dhull,,Sandeep Kumar Dhull,Sandeep Kumar Dhull,,,10.0,,,10.0,10.0,10.0,,10,10.0,,,Defender,,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,1.0,,,9.0,10.0,5.0,,40,13.0,,,6.0,,,2.0,32.0,3.2,,32,26.0,,,0.6,,,0.2,3.2,0.32,,3.2,2.6,,,2.0,,,2.0,2.0,2.0,,2,2.0,,,9.0,,,9.0,9.0,9.0,,9,9.0,,
,Nilesh Salunke,Nilesh Salunke,,,,Nilesh Salunke,Nilesh Salunke,,Nilesh Salunke,,,7.0,7.0,,,,7.0,7,,7.0,,,Raider,Raider,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,PUN,PUN,,,,PUN,PUN,,PUN,,,Puneri Paltan,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,43.0,22.0,,,,34.0,74,,46.0,,,10.0,1.0,,,,6.0,10,,5.0,,,1.4285714285714286,0.1428571428571428,,,,0.8571428571428571,1.4285714285714286,,0.7142857142857143,,,7.0,7.0,,,,7.0,7,,7.0,,,8.0,8.0,,,,8.0,8,,8.0,
,,,,Navjot Singh,Navjot Singh,,Navjot Singh,Navjot Singh,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,99.0,43.0,,118,95.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Sandeep,Sandeep,,Sandeep,Sandeep,,,,,,,3.0,3.0,,3,3.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,,,,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,,,,,70.0,44.0,,98,67.0,,,,,,,3.0,1.0,,3,3.0,,,,,,,1.0,0.3333333333333333,,1.0,1.0,,,,,,,6.0,6.0,,6,6.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Ravinandan G.M.,Ravinandan G.M.,,Ravinandan G.M.,Ravinandan G.M.,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,98.0,45.0,,121,94.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Sushil Vijay Bhosle,Sushil Vijay Bhosle,,Sushil Vijay Bhosle,Sushil Vijay Bhosle,,,,,,,2.0,2.0,,2,2.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,71.0,46.0,,99,70.0,,,,,,,2.0,1.0,,2,2.0,,,,,,,1.0,0.5,,1.0,1.0,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,Manpreet Singh,,,Manpreet Singh,Manpreet Singh,Manpreet Singh,Manpreet Singh,Manpreet Singh,Manpreet Singh,,,13.0,,,13.0,13.0,13.0,13,13.0,13.0,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,PAT,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,29.0,,,55.0,75.0,39.0,43,54.0,27.0,,,24.0,,,5.0,0.38,4.0,29,5.0,20.0,,,1.8461538461538465,,,0.3846153846153846,0.0292307692307692,0.3076923076923077,2.230769230769231,0.3846153846153846,1.5384615384615383,,,6.0,,,6.0,6.0,6.0,6,6.0,6.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
,Anil Kumar,,,Anil Kumar,Anil Kumar,Anil Kumar,Anil Kumar,Anil Kumar,Anil Kumar,,,11.0,,,11.0,11.0,11.0,11,11.0,11.0,,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,69.0,,,20.0,23.0,52.0,50,18.0,60.0,,,2.0,,,19.0,1.73,1.0,21,19.0,2.0,,,0.1818181818181818,,,1.7272727272727273,0.1572727272727272,0.0909090909090909,1.9090909090909092,1.7272727272727273,0.1818181818181818,,,2.0,,,2.0,2.0,2.0,2,2.0,2.0,,,9.0,,,9.0,9.0,9.0,9,9.0,9.0,
,,,,Sanju,Sanju,,Sanju,Sanju,,,,,,,4.0,4.0,,4,4.0,,,,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,,,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,,,,,96.0,87.0,,122,96.0,,,,,,,1.0,0.25,,1,1.0,,,,,,,0.25,0.0625,,0.25,0.25,,,,,,,8.0,8.0,,8,8.0,,,,,,,8.0,8.0,,8,8.0,,
,Virender Wazir Singh,,,Virender Wazir Singh,Virender Wazir Singh,Virender Wazir Singh,Virender Wazir Singh,Virender Wazir Singh,Virender Wazir Singh,,,4.0,,,4.0,4.0,4.0,4,4.0,4.0,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,HYD,,,HYD,HYD,HYD,HYD,HYD,HYD,,,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,55.0,,,97.0,88.0,49.0,83,97.0,55.0,,,6.0,,,1.0,0.25,2.0,7,1.0,4.0,,,1.5,,,0.25,0.0625,0.5,1.75,0.25,1.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
Somvir,Somvir,,,Somvir,Somvir,,Somvir,Somvir,,,14.0,14.0,,,14.0,14.0,,14,14.0,,,Defender,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,BLR,BLR,,,BLR,BLR,,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,26.0,70.0,,,19.0,30.0,,47,17.0,,,1.0,1.0,,,21.0,1.5,,22,20.0,,,0.0714285714285714,0.0714285714285714,,,1.5,0.1071428571428571,,1.5714285714285714,1.4285714285714286,,,1.0,1.0,,,1.0,1.0,,1,1.0,,,9.0,9.0,,,9.0,9.0,,9,9.0,,
,Parvesh Attri,,,,,Parvesh Attri,Parvesh Attri,,Parvesh Attri,,,1.0,,,,,1.0,1,,1.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,BLR,,,,,BLR,BLR,,BLR,,,Bengaluru Bulls,,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,71.0,,,,,50.0,120,,76.0,,,1.0,,,,,1.0,1,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1,,1.0,,,8.0,,,,,8.0,8,,8.0,
,Nirbhay Narwal,,,Nirbhay Narwal,Nirbhay Narwal,Nirbhay Narwal,Nirbhay Narwal,Nirbhay Narwal,Nirbhay Narwal,,,2.0,,,2.0,2.0,2.0,2,2.0,2.0,,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,BLR,,,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,72.0,,,92.0,71.0,51.0,101,98.0,77.0,,,1.0,,,1.0,0.5,1.0,2,1.0,1.0,,,0.5,,,0.5,0.25,0.5,1.0,0.5,0.5,,,1.0,,,1.0,1.0,1.0,1,1.0,1.0,,,9.0,,,9.0,9.0,9.0,9,9.0,9.0,
,,,,Hardeep Duhan,Hardeep Duhan,,Hardeep Duhan,Hardeep Duhan,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,,,,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,,,,93.0,48.0,,119,99.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,9.0,9.0,,9,9.0,,
Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,Pawan Kumar Sehrawat,,13.0,13.0,13.0,,13.0,13.0,13.0,13,13.0,13.0,,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,22.0,17.0,23.0,,43.0,62.0,9.0,18,45.0,17.0,,2.0,45.0,1.0,,8.0,0.62,18.0,53,6.0,36.0,,0.1538461538461538,3.4615384615384617,0.0769230769230769,,0.6153846153846154,0.0476923076923076,1.3846153846153846,4.076923076923077,0.4615384615384615,2.769230769230769,,1.0,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,
Nitin Tomar,Nitin Tomar,Nitin Tomar,,Nitin Tomar,Nitin Tomar,Nitin Tomar,Nitin Tomar,Nitin Tomar,Nitin Tomar,Nitin Tomar,10.0,10.0,10.0,,10.0,10.0,10.0,10,10.0,10.0,10.0,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,24.0,6.0,24.0,,59.0,74.0,40.0,7,68.0,5.0,7.0,1.0,77.0,1.0,,4.0,0.4,4.0,81,3.0,68.0,2.0,0.1,7.7,0.1,,0.4,0.04,0.4,8.1,0.3,6.8,0.2,4.0,4.0,4.0,,4.0,4.0,4.0,4,4.0,4.0,4.0,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
Surjeet Singh,Surjeet Singh,,Surjeet Singh,Surjeet Singh,Surjeet Singh,,Surjeet Singh,Surjeet Singh,Surjeet Singh,,12.0,12.0,,12.0,12.0,12.0,,12,12.0,12.0,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,,PUN,PUN,PUN,,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,25.0,73.0,,4.0,3.0,2.0,,20,3.0,78.0,,1.0,1.0,,5.0,48.0,4.0,,49,47.0,1.0,,0.0833333333333333,0.0833333333333333,,0.4166666666666667,4.0,0.3333333333333333,,4.083333333333333,3.9166666666666665,0.0833333333333333,,7.0,7.0,,7.0,7.0,7.0,,7,7.0,7.0,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,9.0,
,,,,Darshan Kadian,Darshan Kadian,,Darshan Kadian,Darshan Kadian,,,,,,,2.0,2.0,,2,2.0,,,,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,,,,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,,,,,74.0,47.0,,100,69.0,,,,,,,2.0,1.0,,2,2.0,,,,,,,1.0,0.5,,1.0,1.0,,,,,,,6.0,6.0,,6,6.0,,,,,,,8.0,8.0,,8,8.0,,
,Rohit Kumar,Rohit Kumar,,Rohit Kumar,Rohit Kumar,Rohit Kumar,Rohit Kumar,Rohit Kumar,Rohit Kumar,Rohit Kumar,,12.0,12.0,,12.0,12.0,12.0,12,12.0,12.0,12.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,3.0,3.0,,44.0,63.0,8.0,3,44.0,3.0,3.0,,102.0,4.0,,7.0,0.58,20.0,109,7.0,80.0,5.0,,8.5,0.3333333333333333,,0.5833333333333334,0.0483333333333333,1.6666666666666667,9.083333333333334,0.5833333333333334,6.666666666666667,0.4166666666666667,,6.0,6.0,,6.0,6.0,6.0,6,6.0,6.0,6.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
